,Date,Level
0,2014-03-01,100.0
1,2014-03-03,98.93390034199338
2,2014-03-04,99.93913871835969
3,2014-03-05,100.21469914179511
4,2014-03-06,100.32575495601158
5,2014-03-07,99.92926088139889
6,2014-03-10,99.66438364269645
7,2014-03-11,98.7118051492293
8,2014-03-12,99.3131205286763
9,2014-03-13,97.81269188643347
10,2014-03-14,96.47514072219643
11,2014-03-17,98.06276058752913
12,2014-03-18,99.63887548468787
13,2014-03-19,98.65092743192017
14,2014-03-20,98.4790103360634
15,2014-03-21,97.31748518488811
16,2014-03-24,95.25193250593985
17,2014-03-25,95.31691914045396
18,2014-03-26,93.11644605616266
19,2014-03-27,91.66124837451235
20,2014-03-28,92.14412832444272
21,2014-03-31,91.68018226499295
22,2014-04-01,93.35663692029752
23,2014-04-02,93.37392724389612
24,2014-04-03,93.9298473060624
25,2014-04-04,89.6154842408233
26,2014-04-07,88.85615634134123
27,2014-04-08,91.63049723815021
28,2014-04-09,93.19681647669223
29,2014-04-10,89.85215787183071
30,2014-04-11,88.38445264620842
31,2014-04-14,89.60726640641333
32,2014-04-15,90.18251481511187
33,2014-04-16,92.68073647574555
34,2014-04-17,89.3015629663621
35,2014-04-18,89.3015629663621
36,2014-04-21,88.64906691420975
37,2014-04-22,89.6565734128732
38,2014-04-23,88.34336347415852
39,2014-04-24,87.83878844138582
40,2014-04-25,85.97498359720252
41,2014-04-28,85.95526079461857
42,2014-04-29,88.14942258208302
43,2014-04-30,87.91110538419362
44,2014-05-01,88.5110072961221
45,2014-05-02,87.74510512911203
46,2014-05-05,87.98506589388343
47,2014-05-06,85.88787455245675
48,2014-05-07,85.13676448738464
49,2014-05-08,85.49341850077772
50,2014-05-09,86.55351913966506
51,2014-05-12,88.49457162730214
52,2014-05-13,89.00572092760284
53,2014-05-14,87.8338577407398
54,2014-05-15,86.96441086016401
55,2014-05-16,86.82963837584035
56,2014-05-19,88.56031430258199
57,2014-05-20,88.81671073617332
58,2014-05-21,90.34687150331146
59,2014-05-22,91.29192246045908
60,2014-05-23,92.66430080692558
61,2014-05-27,94.48372934529499
62,2014-05-28,93.75727278345283
63,2014-05-29,93.77535201915478
64,2014-05-30,93.95450080929233
65,2014-06-02,92.75305341855338
66,2014-06-03,91.13742717355146
67,2014-06-04,91.01415965740176
68,2014-06-05,92.85002386459112
69,2014-06-06,93.03081622161066
70,2014-06-09,93.80329265614871
71,2014-06-10,93.40390590382371
72,2014-06-11,93.27242055326406
73,2014-06-12,91.95756704766738
74,2014-06-13,92.09727023263703
75,2014-06-16,90.77419889263037
76,2014-06-17,90.49725787301408
77,2014-06-18,92.1482208059789
78,2014-06-19,92.8598852658831
79,2014-06-20,93.11135099882846
80,2014-06-23,94.38840246613923
81,2014-06-24,94.10077826178996
82,2014-06-25,96.30151431678239
83,2014-06-26,96.11086055847088
84,2014-06-27,96.2620687116145
85,2014-06-30,96.09442488965091
86,2014-07-01,97.21533750317208
87,2014-07-02,97.09864425455036
88,2014-07-03,97.47666463740943
89,2014-07-07,97.09535712078639
90,2014-07-08,95.06390845463952
91,2014-07-09,95.87911762810947
92,2014-07-10,95.33345342328684
93,2014-07-11,96.41985113228608
94,2014-07-14,97.67060552948493
95,2014-07-15,97.47337750364542
96,2014-07-16,97.07234718443844
97,2014-07-17,95.46165164008252
98,2014-07-18,99.45387559645042
99,2014-07-21,98.3576164861592
100,2014-07-22,99.20076629662307
101,2014-07-23,99.46702413150639
102,2014-07-24,99.10872655123129
103,2014-07-25,98.29844807840735
104,2014-07-28,98.45294336531495
105,2014-07-29,97.61965495614307
106,2014-07-30,97.86454642156045
107,2014-07-31,95.25291864606903
108,2014-08-01,94.27499635128153
109,2014-08-04,95.69996883797191
110,2014-08-05,94.19939227470971
111,2014-08-06,94.42127380377914
112,2014-08-07,93.98079787940425
113,2014-08-08,94.98830437806772
114,2014-08-11,94.87489826321
115,2014-08-12,94.03174845274613
116,2014-08-13,96.07634565394895
117,2014-08-14,96.09113775588692
118,2014-08-15,95.93664246897931
119,2014-08-18,97.41420909589358
120,2014-08-19,98.13902209085374
121,2014-08-20,97.85961572091445
122,2014-08-21,97.36818922319769
123,2014-08-22,97.38791202578165
124,2014-08-25,97.06412935002847
125,2014-08-26,96.66145546393949
126,2014-08-27,95.81994922035761
127,2014-08-28,95.37947329598273
128,2014-08-29,95.71476093990988
129,2014-09-02,96.74527737492127
130,2014-09-03,96.8915548274189
131,2014-09-04,97.4865260387014
132,2014-09-05,98.24914107194746
133,2014-09-08,98.88191432151586
134,2014-09-09,97.29422871350789
135,2014-09-10,97.53254591139728
136,2014-09-11,97.15288196165623
137,2014-09-12,96.13222692793681
138,2014-09-15,95.59642412440617
139,2014-09-16,96.7699308781512
140,2014-09-17,97.51117954193133
141,2014-09-18,98.16531916096568
142,2014-09-19,99.50153903602829
143,2014-09-22,98.16531916096568
144,2014-09-23,97.1643869298302
145,2014-09-24,98.3543293523952
146,2014-09-25,96.18975176880667
147,2014-09-26,96.62529699253557
148,2014-09-29,96.6105048905976
149,2014-09-30,96.70911890351735
150,2014-10-01,95.26606718112501
151,2014-10-02,95.4715130413745
152,2014-10-03,96.35410845700626
153,2014-10-06,96.60557418995162
154,2014-10-07,94.35717469538132
155,2014-10-08,95.9415731696253
156,2014-10-09,93.81644119120467
157,2014-10-10,91.24918972152719
158,2014-10-14,90.18087124822989
159,2014-10-15,88.87259201016118
160,2014-10-16,88.24639302812076
161,2014-10-17,85.95361722773657
162,2014-10-20,87.50021366369465
163,2014-10-21,88.4288289520223
