,Date,Index Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,95.65308163699456
22,2014-04-01,95.65308163699456
23,2014-04-02,95.65308163699456
24,2014-04-03,95.65308163699456
25,2014-04-04,95.65308163699456
26,2014-04-07,95.65308163699456
27,2014-04-08,95.65308163699456
28,2014-04-09,95.65308163699456
29,2014-04-10,95.65308163699456
30,2014-04-11,95.65308163699456
31,2014-04-14,95.65308163699456
32,2014-04-15,95.65308163699456
33,2014-04-16,95.65308163699456
34,2014-04-17,95.65308163699456
35,2014-04-18,95.65308163699456
36,2014-04-21,95.65308163699456
37,2014-04-22,95.65308163699456
38,2014-04-23,99.27501061965557
39,2014-04-24,99.27501061965557
40,2014-04-25,99.27501061965557
41,2014-04-28,99.27501061965557
42,2014-04-29,99.27501061965557
43,2014-04-30,121.64638761767645
44,2014-05-01,121.64638761767645
45,2014-05-02,121.64638761767645
46,2014-05-05,121.64638761767645
47,2014-05-06,121.64638761767645
48,2014-05-07,132.90952148052202
49,2014-05-08,132.90952148052202
50,2014-05-09,122.52055083037399
51,2014-05-12,122.52055083037399
52,2014-05-13,122.52055083037399
53,2014-05-14,122.52055083037399
54,2014-05-15,108.18608084553276
55,2014-05-16,108.18608084553276
56,2014-05-19,108.18608084553276
57,2014-05-20,108.18608084553276
58,2014-05-21,108.18608084553276
59,2014-05-22,108.18608084553276
60,2014-05-23,108.18608084553276
61,2014-05-27,108.18608084553276
62,2014-05-28,108.18608084553276
63,2014-05-29,108.18608084553276
64,2014-05-30,108.18608084553276
65,2014-06-02,108.18608084553276
66,2014-06-03,108.18608084553276
67,2014-06-04,108.18608084553276
68,2014-06-05,107.56097851405468
69,2014-06-06,107.56097851405468
70,2014-06-09,107.56097851405468
71,2014-06-10,107.56097851405468
72,2014-06-11,107.56097851405468
73,2014-06-12,107.56097851405468
74,2014-06-13,107.56097851405468
75,2014-06-16,107.56097851405468
76,2014-06-17,107.56097851405468
77,2014-06-18,107.56097851405468
78,2014-06-19,107.56097851405468
79,2014-06-20,107.56097851405468
80,2014-06-23,107.56097851405468
81,2014-06-24,107.56097851405468
82,2014-06-25,107.56097851405468
83,2014-06-26,107.56097851405468
84,2014-06-27,107.56097851405468
85,2014-06-30,107.56097851405468
86,2014-07-01,107.56097851405468
87,2014-07-02,107.56097851405468
88,2014-07-03,107.56097851405468
89,2014-07-07,107.56097851405468
90,2014-07-08,107.56097851405468
91,2014-07-09,107.56097851405468
92,2014-07-10,107.56097851405468
93,2014-07-11,107.56097851405468
94,2014-07-14,107.56097851405468
95,2014-07-15,107.56097851405468
96,2014-07-16,107.56097851405468
97,2014-07-17,107.56097851405468
98,2014-07-18,107.56097851405468
99,2014-07-21,107.56097851405468
100,2014-07-22,107.56097851405468
101,2014-07-23,107.56097851405468
102,2014-07-24,107.56097851405468
103,2014-07-25,107.56097851405468
104,2014-07-28,107.56097851405468
105,2014-07-29,107.56097851405468
106,2014-07-30,107.56097851405468
107,2014-07-31,106.90114827527226
108,2014-08-01,106.90114827527226
109,2014-08-04,106.90114827527226
110,2014-08-05,106.26113211857145
111,2014-08-06,100.06763355822112
112,2014-08-07,100.06763355822112
113,2014-08-08,105.79390327980818
114,2014-08-11,105.79390327980818
115,2014-08-12,105.79390327980818
116,2014-08-13,105.79390327980818
117,2014-08-14,108.60573905598311
118,2014-08-15,108.60573905598311
119,2014-08-18,108.60573905598311
120,2014-08-19,108.60573905598311
121,2014-08-20,108.60573905598311
122,2014-08-21,108.60573905598311
123,2014-08-22,108.60573905598311
124,2014-08-25,108.60573905598311
125,2014-08-26,108.60573905598311
126,2014-08-27,108.60573905598311
127,2014-08-28,108.60573905598311
128,2014-08-29,108.60573905598311
129,2014-09-02,108.60573905598311
130,2014-09-03,108.60573905598311
131,2014-09-04,108.60573905598311
132,2014-09-05,108.60573905598311
133,2014-09-08,108.60573905598311
134,2014-09-09,108.60573905598311
135,2014-09-10,108.60573905598311
136,2014-09-11,108.60573905598311
137,2014-09-12,108.60573905598311
138,2014-09-15,108.60573905598311
139,2014-09-16,108.60573905598311
140,2014-09-17,108.60573905598311
141,2014-09-18,108.60573905598311
142,2014-09-19,108.60573905598311
143,2014-09-22,108.60573905598311
144,2014-09-23,108.60573905598311
145,2014-09-24,108.60573905598311
146,2014-09-25,108.60573905598311
147,2014-09-26,108.60573905598311
148,2014-09-29,108.60573905598311
149,2014-09-30,108.60573905598311
150,2014-10-01,108.60573905598311
151,2014-10-02,108.60573905598311
152,2014-10-03,108.60573905598311
153,2014-10-06,108.60573905598311
154,2014-10-07,108.60573905598311
155,2014-10-08,108.60573905598311
156,2014-10-09,108.60573905598311
157,2014-10-10,108.60573905598311
158,2014-10-14,108.60573905598311
159,2014-10-15,108.60573905598311
160,2014-10-16,108.60573905598311
161,2014-10-17,108.60573905598311
162,2014-10-20,108.60573905598311
163,2014-10-21,108.60573905598311
164,2014-10-22,108.60573905598311
165,2014-10-23,103.91853684312768
166,2014-10-24,103.91853684312768
167,2014-10-27,103.91853684312768
168,2014-10-28,103.91853684312768
