,Date,Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,100.0
22,2014-04-01,100.0
23,2014-04-02,100.0
24,2014-04-03,100.0
25,2014-04-04,100.0
26,2014-04-07,100.0
27,2014-04-08,100.0
28,2014-04-09,100.0
29,2014-04-10,100.0
30,2014-04-11,100.0
31,2014-04-14,100.0
32,2014-04-15,100.0
33,2014-04-16,100.0
34,2014-04-17,100.0
35,2014-04-18,100.0
36,2014-04-21,100.0
37,2014-04-22,100.0
38,2014-04-23,100.0
39,2014-04-24,101.82549755610164
40,2014-04-25,101.82549755610164
41,2014-04-28,101.82549755610164
42,2014-04-29,101.82549755610164
43,2014-04-30,101.82549755610164
44,2014-05-01,101.82549755610164
45,2014-05-02,101.82549755610164
46,2014-05-05,101.82549755610164
47,2014-05-06,101.82549755610164
48,2014-05-07,101.82549755610164
49,2014-05-08,101.82549755610164
50,2014-05-09,101.82549755610164
51,2014-05-12,101.82549755610164
52,2014-05-13,101.82549755610164
53,2014-05-14,101.82549755610164
54,2014-05-15,101.82549755610164
55,2014-05-16,101.82549755610164
56,2014-05-19,101.82549755610164
57,2014-05-20,101.82549755610164
58,2014-05-21,101.82549755610164
59,2014-05-22,101.82549755610164
60,2014-05-23,101.82549755610164
61,2014-05-27,101.82549755610164
62,2014-05-28,101.82549755610164
63,2014-05-29,101.82549755610164
64,2014-05-30,101.82549755610164
65,2014-06-02,101.82549755610164
66,2014-06-03,101.82549755610164
67,2014-06-04,101.82549755610164
68,2014-06-05,101.82549755610164
69,2014-06-06,101.82549755610164
70,2014-06-09,101.82549755610164
71,2014-06-10,101.82549755610164
72,2014-06-11,101.82549755610164
73,2014-06-12,101.82549755610164
74,2014-06-13,101.82549755610164
75,2014-06-16,101.82549755610164
76,2014-06-17,101.82549755610164
77,2014-06-18,101.82549755610164
78,2014-06-19,101.82549755610164
79,2014-06-20,101.82549755610164
80,2014-06-23,101.82549755610164
81,2014-06-24,101.82549755610164
82,2014-06-25,101.82549755610164
83,2014-06-26,101.82549755610164
84,2014-06-27,101.82549755610164
85,2014-06-30,101.82549755610164
86,2014-07-01,101.82549755610164
87,2014-07-02,101.82549755610164
88,2014-07-03,101.82549755610164
89,2014-07-07,101.82549755610164
90,2014-07-08,101.82549755610164
91,2014-07-09,101.82549755610164
92,2014-07-10,101.82549755610164
93,2014-07-11,101.82549755610164
94,2014-07-14,101.82549755610164
95,2014-07-15,101.82549755610164
96,2014-07-16,101.82549755610164
97,2014-07-17,101.82549755610164
98,2014-07-18,101.82549755610164
99,2014-07-21,101.82549755610164
100,2014-07-22,101.82549755610164
101,2014-07-23,104.11547082174394
102,2014-07-24,104.11547082174394
103,2014-07-25,104.11547082174394
104,2014-07-28,104.11547082174394
105,2014-07-29,104.11547082174394
106,2014-07-30,104.11547082174394
107,2014-07-31,104.11547082174394
108,2014-08-01,104.11547082174394
109,2014-08-04,104.11547082174394
110,2014-08-05,104.11547082174394
111,2014-08-06,104.11547082174394
112,2014-08-07,104.11547082174394
113,2014-08-08,104.11547082174394
114,2014-08-11,104.11547082174394
115,2014-08-12,104.11547082174394
116,2014-08-13,104.11547082174394
117,2014-08-14,104.11547082174394
118,2014-08-15,104.11547082174394
119,2014-08-18,104.11547082174394
120,2014-08-19,104.11547082174394
121,2014-08-20,104.11547082174394
122,2014-08-21,104.11547082174394
123,2014-08-22,104.11547082174394
124,2014-08-25,104.11547082174394
125,2014-08-26,104.11547082174394
126,2014-08-27,104.11547082174394
127,2014-08-28,104.11547082174394
128,2014-08-29,104.11547082174394
129,2014-09-02,104.11547082174394
130,2014-09-03,104.11547082174394
131,2014-09-04,104.11547082174394
132,2014-09-05,104.11547082174394
133,2014-09-08,104.11547082174394
134,2014-09-09,104.11547082174394
135,2014-09-10,104.11547082174394
136,2014-09-11,104.11547082174394
137,2014-09-12,104.11547082174394
138,2014-09-15,104.11547082174394
139,2014-09-16,104.11547082174394
140,2014-09-17,104.11547082174394
141,2014-09-18,104.11547082174394
142,2014-09-19,104.11547082174394
143,2014-09-22,104.11547082174394
144,2014-09-23,104.11547082174394
145,2014-09-24,104.11547082174394
146,2014-09-25,104.11547082174394
147,2014-09-26,104.11547082174394
148,2014-09-29,104.11547082174394
149,2014-09-30,104.11547082174394
150,2014-10-01,104.11547082174394
151,2014-10-02,104.11547082174394
152,2014-10-03,104.11547082174394
153,2014-10-06,104.11547082174394
154,2014-10-07,104.11547082174394
155,2014-10-08,104.11547082174394
156,2014-10-09,104.11547082174394
157,2014-10-10,104.11547082174394
158,2014-10-14,104.11547082174394
159,2014-10-15,104.11547082174394
160,2014-10-16,104.11547082174394
161,2014-10-17,104.11547082174394
162,2014-10-20,104.11547082174394
163,2014-10-21,104.11547082174394
164,2014-10-22,104.11547082174394
165,2014-10-23,104.11547082174394
166,2014-10-24,104.11547082174394
167,2014-10-27,106.69439118576328
168,2014-10-28,106.69439118576328
169,2014-10-29,106.69439118576328
170,2014-10-30,106.69439118576328
171,2014-10-31,106.69439118576328
172,2014-11-03,106.69439118576328
