,Date,Index Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,100.0
22,2014-04-01,100.0
23,2014-04-02,100.0
24,2014-04-03,100.0
25,2014-04-04,100.0
26,2014-04-07,100.0
27,2014-04-08,100.0
28,2014-04-09,100.0
29,2014-04-10,100.0
30,2014-04-11,100.0
31,2014-04-14,100.0
32,2014-04-15,100.0
33,2014-04-16,100.0
34,2014-04-17,100.0
35,2014-04-18,100.0
36,2014-04-21,100.0
37,2014-04-22,100.0
38,2014-04-23,100.09817547478335
39,2014-04-24,102.1908581203408
40,2014-04-25,103.18644965000331
41,2014-04-28,103.18644965000331
42,2014-04-29,103.18644965000331
43,2014-04-30,103.18644965000331
44,2014-05-01,103.18644965000331
45,2014-05-02,103.18644965000331
46,2014-05-05,103.18644965000331
47,2014-05-06,103.18644965000331
48,2014-05-07,103.18644965000331
49,2014-05-08,103.18644965000331
50,2014-05-09,103.18644965000331
51,2014-05-12,103.18644965000331
52,2014-05-13,103.18644965000331
53,2014-05-14,103.18644965000331
54,2014-05-15,103.18644965000331
55,2014-05-16,103.18644965000331
56,2014-05-19,103.18644965000331
57,2014-05-20,103.18644965000331
58,2014-05-21,103.18644965000331
59,2014-05-22,103.18644965000331
60,2014-05-23,103.18644965000331
61,2014-05-27,103.18644965000331
62,2014-05-28,103.18644965000331
63,2014-05-29,103.18644965000331
64,2014-05-30,103.18644965000331
65,2014-06-02,103.18644965000331
66,2014-06-03,103.18644965000331
67,2014-06-04,103.18644965000331
68,2014-06-05,103.18644965000331
69,2014-06-06,103.18644965000331
70,2014-06-09,103.18644965000331
71,2014-06-10,103.18644965000331
72,2014-06-11,103.18644965000331
73,2014-06-12,103.18644965000331
74,2014-06-13,103.18644965000331
75,2014-06-16,103.18644965000331
76,2014-06-17,103.18644965000331
77,2014-06-18,103.18644965000331
78,2014-06-19,103.18644965000331
79,2014-06-20,103.18644965000331
80,2014-06-23,103.18644965000331
81,2014-06-24,103.18644965000331
82,2014-06-25,103.18644965000331
83,2014-06-26,103.18644965000331
84,2014-06-27,103.18644965000331
85,2014-06-30,103.18644965000331
86,2014-07-01,103.18644965000331
87,2014-07-02,103.18644965000331
88,2014-07-03,103.18644965000331
89,2014-07-07,103.18644965000331
90,2014-07-08,103.18644965000331
91,2014-07-09,103.18644965000331
92,2014-07-10,103.18644965000331
93,2014-07-11,103.18644965000331
94,2014-07-14,103.18644965000331
95,2014-07-15,103.18644965000331
96,2014-07-16,103.18644965000331
97,2014-07-17,103.18644965000331
98,2014-07-18,103.18644965000331
99,2014-07-21,103.18644965000331
100,2014-07-22,103.29464074572223
101,2014-07-23,104.90818563862354
102,2014-07-24,106.14259972412711
103,2014-07-25,107.18744840593183
104,2014-07-28,107.18744840593183
105,2014-07-29,107.18744840593183
106,2014-07-30,107.18744840593183
107,2014-07-31,107.18744840593183
108,2014-08-01,107.18744840593183
109,2014-08-04,107.18744840593183
110,2014-08-05,107.18744840593183
111,2014-08-06,107.18744840593183
112,2014-08-07,107.18744840593183
113,2014-08-08,107.18744840593183
114,2014-08-11,107.18744840593183
115,2014-08-12,107.18744840593183
116,2014-08-13,107.18744840593183
117,2014-08-14,107.18744840593183
118,2014-08-15,107.18744840593183
119,2014-08-18,107.18744840593183
120,2014-08-19,107.18744840593183
121,2014-08-20,107.18744840593183
122,2014-08-21,107.18744840593183
123,2014-08-22,107.18744840593183
124,2014-08-25,107.18744840593183
125,2014-08-26,107.18744840593183
126,2014-08-27,107.18744840593183
127,2014-08-28,107.18744840593183
128,2014-08-29,107.18744840593183
129,2014-09-02,107.18744840593183
130,2014-09-03,107.18744840593183
131,2014-09-04,107.18744840593183
132,2014-09-05,107.18744840593183
133,2014-09-08,107.18744840593183
134,2014-09-09,107.18744840593183
135,2014-09-10,107.18744840593183
136,2014-09-11,107.18744840593183
137,2014-09-12,107.18744840593183
138,2014-09-15,107.18744840593183
139,2014-09-16,107.18744840593183
140,2014-09-17,107.18744840593183
141,2014-09-18,107.18744840593183
142,2014-09-19,107.18744840593183
143,2014-09-22,107.18744840593183
144,2014-09-23,107.18744840593183
145,2014-09-24,107.18744840593183
146,2014-09-25,107.18744840593183
147,2014-09-26,107.18744840593183
148,2014-09-29,107.18744840593183
149,2014-09-30,107.18744840593183
150,2014-10-01,107.18744840593183
151,2014-10-02,107.18744840593183
152,2014-10-03,107.18744840593183
153,2014-10-06,107.18744840593183
154,2014-10-07,107.18744840593183
155,2014-10-08,107.18744840593183
156,2014-10-09,107.18744840593183
157,2014-10-10,107.18744840593183
158,2014-10-14,107.18744840593183
159,2014-10-15,107.18744840593183
160,2014-10-16,107.18744840593183
161,2014-10-17,107.18744840593183
162,2014-10-20,107.26698676551374
163,2014-10-21,107.26698676551374
164,2014-10-22,107.26698676551374
165,2014-10-23,107.21175904947548
166,2014-10-24,106.43707838396598
167,2014-10-27,108.13122588946364
168,2014-10-28,108.13122588946364
169,2014-10-29,108.13122588946364
170,2014-10-30,109.11636893230809
171,2014-10-31,109.11636893230809
172,2014-11-03,109.11636893230809
