,Date,Index Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,100.0
22,2014-04-01,100.0
23,2014-04-02,100.0
24,2014-04-03,100.0
25,2014-04-04,100.0
26,2014-04-07,100.0
27,2014-04-08,100.0
28,2014-04-09,100.0
29,2014-04-10,100.0
30,2014-04-11,100.0
31,2014-04-14,100.0
32,2014-04-15,100.0
33,2014-04-16,100.0
34,2014-04-17,100.0
35,2014-04-18,100.0
36,2014-04-21,100.0
37,2014-04-22,100.0
38,2014-04-23,101.47129548256378
39,2014-04-24,100.63339462935465
40,2014-04-25,104.53202727100152
41,2014-04-28,104.53202727100152
42,2014-04-29,104.53202727100152
43,2014-04-30,104.53202727100152
44,2014-05-01,104.53202727100152
45,2014-05-02,104.53202727100152
46,2014-05-05,104.53202727100152
47,2014-05-06,104.53202727100152
48,2014-05-07,104.53202727100152
49,2014-05-08,104.53202727100152
50,2014-05-09,104.53202727100152
51,2014-05-12,104.53202727100152
52,2014-05-13,104.53202727100152
53,2014-05-14,104.53202727100152
54,2014-05-15,104.53202727100152
55,2014-05-16,104.53202727100152
56,2014-05-19,104.53202727100152
57,2014-05-20,104.53202727100152
58,2014-05-21,104.53202727100152
59,2014-05-22,104.53202727100152
60,2014-05-23,104.53202727100152
61,2014-05-27,104.53202727100152
62,2014-05-28,104.53202727100152
63,2014-05-29,104.53202727100152
64,2014-05-30,104.53202727100152
65,2014-06-02,104.53202727100152
66,2014-06-03,104.53202727100152
67,2014-06-04,104.53202727100152
68,2014-06-05,104.53202727100152
69,2014-06-06,104.53202727100152
70,2014-06-09,104.53202727100152
71,2014-06-10,104.53202727100152
72,2014-06-11,104.53202727100152
73,2014-06-12,104.53202727100152
74,2014-06-13,104.53202727100152
75,2014-06-16,104.53202727100152
76,2014-06-17,104.53202727100152
77,2014-06-18,104.53202727100152
78,2014-06-19,104.53202727100152
79,2014-06-20,104.53202727100152
80,2014-06-23,104.53202727100152
81,2014-06-24,104.53202727100152
82,2014-06-25,104.53202727100152
83,2014-06-26,104.53202727100152
84,2014-06-27,104.53202727100152
85,2014-06-30,104.53202727100152
86,2014-07-01,104.53202727100152
87,2014-07-02,104.53202727100152
88,2014-07-03,104.53202727100152
89,2014-07-07,104.53202727100152
90,2014-07-08,104.53202727100152
91,2014-07-09,104.53202727100152
92,2014-07-10,104.53202727100152
93,2014-07-11,104.53202727100152
94,2014-07-14,104.53202727100152
95,2014-07-15,104.53202727100152
96,2014-07-16,104.53202727100152
97,2014-07-17,104.53202727100152
98,2014-07-18,104.53202727100152
99,2014-07-21,104.53202727100152
100,2014-07-22,105.54031262759433
101,2014-07-23,105.90361979625649
102,2014-07-24,109.31211315826134
103,2014-07-25,108.11123238002119
104,2014-07-28,108.11123238002119
105,2014-07-29,108.11123238002119
106,2014-07-30,108.11123238002119
107,2014-07-31,108.11123238002119
108,2014-08-01,108.11123238002119
109,2014-08-04,108.11123238002119
110,2014-08-05,108.11123238002119
111,2014-08-06,108.11123238002119
112,2014-08-07,108.11123238002119
113,2014-08-08,108.11123238002119
114,2014-08-11,108.11123238002119
115,2014-08-12,108.11123238002119
116,2014-08-13,108.11123238002119
117,2014-08-14,108.11123238002119
118,2014-08-15,108.11123238002119
119,2014-08-18,108.11123238002119
120,2014-08-19,108.11123238002119
121,2014-08-20,108.11123238002119
122,2014-08-21,108.11123238002119
123,2014-08-22,108.11123238002119
124,2014-08-25,108.11123238002119
125,2014-08-26,108.11123238002119
126,2014-08-27,108.11123238002119
127,2014-08-28,108.11123238002119
128,2014-08-29,108.11123238002119
129,2014-09-02,108.11123238002119
130,2014-09-03,108.11123238002119
131,2014-09-04,108.11123238002119
132,2014-09-05,108.11123238002119
133,2014-09-08,108.11123238002119
134,2014-09-09,108.11123238002119
135,2014-09-10,108.11123238002119
136,2014-09-11,108.11123238002119
137,2014-09-12,108.11123238002119
138,2014-09-15,108.11123238002119
139,2014-09-16,108.11123238002119
140,2014-09-17,108.11123238002119
141,2014-09-18,108.11123238002119
142,2014-09-19,108.11123238002119
143,2014-09-22,108.11123238002119
144,2014-09-23,108.11123238002119
145,2014-09-24,108.11123238002119
146,2014-09-25,108.11123238002119
147,2014-09-26,108.11123238002119
148,2014-09-29,108.11123238002119
149,2014-09-30,108.11123238002119
150,2014-10-01,108.11123238002119
151,2014-10-02,108.11123238002119
152,2014-10-03,108.11123238002119
153,2014-10-06,108.11123238002119
154,2014-10-07,108.11123238002119
155,2014-10-08,108.11123238002119
156,2014-10-09,108.11123238002119
157,2014-10-10,108.11123238002119
158,2014-10-14,108.11123238002119
159,2014-10-15,108.11123238002119
160,2014-10-16,108.11123238002119
161,2014-10-17,108.11123238002119
162,2014-10-20,108.55025171927215
163,2014-10-21,108.55025171927215
164,2014-10-22,108.55025171927215
165,2014-10-23,106.91830716131477
166,2014-10-24,106.18825134096694
167,2014-10-27,106.08042417739752
168,2014-10-28,106.08042417739752
169,2014-10-29,106.08042417739752
170,2014-10-30,107.43607945140626
171,2014-10-31,107.43607945140626
172,2014-11-03,107.43607945140626
