,Date,Index Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,99.97055983390264
18,2014-03-26,99.97055983390264
19,2014-03-27,99.97055983390264
20,2014-03-28,99.97055983390264
21,2014-03-31,99.94044988003364
22,2014-04-01,99.94044988003364
23,2014-04-02,99.94044988003364
24,2014-04-03,99.94044988003364
25,2014-04-04,99.94044988003364
26,2014-04-07,99.94044988003364
27,2014-04-08,99.94054394542044
28,2014-04-09,99.94054394542044
29,2014-04-10,99.94054394542044
30,2014-04-11,99.94054394542044
31,2014-04-14,99.94054394542044
32,2014-04-15,99.9397393873862
33,2014-04-16,99.9397393873862
34,2014-04-17,99.9397393873862
35,2014-04-18,99.9397393873862
36,2014-04-21,99.9397393873862
37,2014-04-22,100.90642230237316
38,2014-04-23,100.90642230237316
39,2014-04-24,100.90642230237316
40,2014-04-25,100.90975070163135
41,2014-04-28,100.90975070163135
42,2014-04-29,100.90975070163135
43,2014-04-30,101.10270138326547
44,2014-05-01,101.08147680828571
45,2014-05-02,101.02425149512668
46,2014-05-05,101.02425149512668
47,2014-05-06,101.39085779023151
48,2014-05-07,101.39085779023151
49,2014-05-08,101.59337496666106
50,2014-05-09,101.6752072802489
51,2014-05-12,101.70888296271451
52,2014-05-13,101.70888296271451
53,2014-05-14,101.70888296271451
54,2014-05-15,101.70826497448284
55,2014-05-16,101.70826497448284
56,2014-05-19,101.70826497448284
57,2014-05-20,101.7078566040127
58,2014-05-21,101.7078566040127
59,2014-05-22,101.7078566040127
60,2014-05-23,101.7078566040127
61,2014-05-27,101.7078566040127
62,2014-05-28,101.7078566040127
63,2014-05-29,101.7078566040127
64,2014-05-30,101.7078566040127
65,2014-06-02,101.7078566040127
66,2014-06-03,101.7078566040127
67,2014-06-04,101.7078566040127
68,2014-06-05,101.7078566040127
69,2014-06-06,101.7078566040127
70,2014-06-09,101.7078566040127
71,2014-06-10,101.7078566040127
72,2014-06-11,101.7078566040127
73,2014-06-12,101.7078566040127
74,2014-06-13,101.7078566040127
75,2014-06-16,101.7078566040127
76,2014-06-17,101.7078566040127
77,2014-06-18,101.7078566040127
78,2014-06-19,101.7078566040127
79,2014-06-20,101.7078566040127
80,2014-06-23,101.7078566040127
81,2014-06-24,101.7078566040127
82,2014-06-25,101.7078566040127
83,2014-06-26,101.7078566040127
84,2014-06-27,101.7078566040127
85,2014-06-30,101.7078566040127
86,2014-07-01,101.7078566040127
87,2014-07-02,101.7078566040127
88,2014-07-03,101.7078566040127
89,2014-07-07,101.7078566040127
90,2014-07-08,101.7078566040127
91,2014-07-09,101.7078566040127
92,2014-07-10,101.7078566040127
93,2014-07-11,101.7078566040127
94,2014-07-14,101.7078566040127
95,2014-07-15,101.7078566040127
96,2014-07-16,101.7078566040127
97,2014-07-17,101.7078566040127
98,2014-07-18,101.7078566040127
99,2014-07-21,101.7078566040127
100,2014-07-22,101.7078566040127
101,2014-07-23,101.7078566040127
102,2014-07-24,102.41984461924262
103,2014-07-25,102.41984461924262
104,2014-07-28,102.41984461924262
105,2014-07-29,102.4519342471052
106,2014-07-30,102.4519342471052
107,2014-07-31,102.84362413082248
108,2014-08-01,102.84362413082248
109,2014-08-04,102.84362413082248
110,2014-08-05,102.86098969216954
111,2014-08-06,102.50829707071735
112,2014-08-07,102.7367448892517
113,2014-08-08,102.7367448892517
114,2014-08-11,102.73916256129257
115,2014-08-12,102.73916256129257
116,2014-08-13,102.73916256129257
117,2014-08-14,102.73842239283029
118,2014-08-15,102.73842239283029
119,2014-08-18,102.73842239283029
120,2014-08-19,102.73818937786912
121,2014-08-20,102.66014468616176
122,2014-08-21,102.66014468616176
123,2014-08-22,102.66014468616176
124,2014-08-25,102.66014468616176
125,2014-08-26,102.66014468616176
126,2014-08-27,102.66014468616176
127,2014-08-28,102.66014468616176
128,2014-08-29,102.66014468616176
129,2014-09-02,102.66014468616176
130,2014-09-03,102.66014468616176
131,2014-09-04,102.66014468616176
132,2014-09-05,102.66014468616176
133,2014-09-08,102.66014468616176
134,2014-09-09,102.66014468616176
135,2014-09-10,102.66014468616176
136,2014-09-11,102.66014468616176
137,2014-09-12,102.66014468616176
138,2014-09-15,102.66014468616176
139,2014-09-16,102.66014468616176
140,2014-09-17,102.66014468616176
141,2014-09-18,102.66014468616176
142,2014-09-19,102.66014468616176
143,2014-09-22,102.66014468616176
144,2014-09-23,102.66014468616176
145,2014-09-24,102.66014468616176
146,2014-09-25,102.66014468616176
147,2014-09-26,102.66014468616176
148,2014-09-29,102.66014468616176
149,2014-09-30,102.66014468616176
150,2014-10-01,102.66014468616176
151,2014-10-02,102.66014468616176
152,2014-10-03,102.66014468616176
153,2014-10-06,102.66014468616176
154,2014-10-07,102.66014468616176
155,2014-10-08,102.66014468616176
156,2014-10-09,102.66014468616176
157,2014-10-10,102.66014468616176
158,2014-10-14,102.66014468616176
159,2014-10-15,102.66014468616176
160,2014-10-16,102.66014468616176
161,2014-10-17,102.66014468616176
162,2014-10-20,102.66014468616176
163,2014-10-21,102.66014468616176
164,2014-10-22,102.66014468616176
165,2014-10-23,103.2988114423707
166,2014-10-24,103.2988114423707
167,2014-10-27,103.2988114423707
