,ticker,company name
0,CDE,COEUR MINING 
1,HL,HECLA MINING CODE
2,NEM,NEWMONT CORP DE
3,RGLD,ROYAL GOLD 
4,WPM,WHEATON PRECIOUS METALS CORP
5,FNV,FRANCO NEVADA CORP
6,SAND,SANDSTORM GOLD LTD
7,GOLD,Barrick Gold
