,ticker,company name
0,AAL,American Airlines Group Inc
1,ALGT,Allegiant Travel Company
2,ALK,Alaska Air Group Inc
3,DAL,Delta Air Lines Inc
4,HA,Hawaiian Holdings Inc
5,JBLU,JetBlue Airways Corporation
6,LUV,Southwest Airlines Co
7,SAVE,Spirit Airlines Incorporated
8,SKYW,SkyWest Inc
9,UAL,United Airlines Holdings Inc
10,ATSG,Air Transport Services
