,Date,MoM % change 
0,2014-04-01,
1,2014-05-01,-0.002146531297552934
2,2014-07-01,0.0038494842697001097
3,2014-08-01,0.011413665684758767
4,2014-10-01,0.005686561366442522
5,2014-12-01,0.018309696070816672
6,2015-04-01,-0.005934292291033039
7,2015-05-01,-0.0033537240524500467
8,2015-06-01,0.0028997298725144116
9,2015-07-01,-0.0013160147651491982
10,2015-09-01,-0.012742550734122227
11,2015-10-01,0.001149482560728332
12,2015-12-01,-0.015363292621178415
13,2016-02-01,-0.01026340386350244
14,2016-03-01,-0.003923862535359812
15,2016-04-01,0.0017083588459692045
16,2016-06-01,-0.006812477543243878
17,2016-07-01,0.00018031027903941954
18,2016-08-01,-0.007183630387776141
19,2016-09-01,0.008618774656777406
20,2016-11-01,0.0029230219894103016
21,2016-12-01,0.010066227003702632
22,2017-02-01,0.002874926029996283
23,2017-03-01,0.006209939918003116
24,2017-05-01,0.008153159450423386
25,2017-06-01,0.01047702497708669
26,2017-08-01,0.0003708118222105483
27,2017-09-01,0.0176960007689988
28,2017-11-01,0.01286706787569214
29,2017-12-01,0.0067194743621064035
30,2018-02-01,0.014513998894400748
31,2018-03-01,0.00456874624967285
32,2018-05-01,0.021287192708539404
33,2018-06-01,0.006135069519426661
34,2018-08-01,0.005840741679006944
35,2018-10-01,0.042579590749233676
36,2018-11-01,0.014943144615805481
37,2019-02-01,0.01845346949336979
38,2019-03-01,0.0051932085944450534
39,2019-04-01,0.0053697531422094436
40,2019-05-01,0.010299474659879237
41,2019-07-01,0.008258391954479194
42,2019-08-01,0.009860992862511297
43,2019-10-01,0.007490735796316761
44,2019-11-01,0.010518622250701659
45,2020-04-01,0.034462305356900425
46,2020-05-01,0.011926510116392564
47,2020-06-01,0.0019838692288565163
48,2020-07-01,-0.0004308737758745851
49,2020-09-01,0.021015840521119156
50,2020-10-01,0.002000103974477252
51,2020-12-01,0.01494111097960893
52,2021-01-01,0.0028738942542982926
53,2021-02-01,0.016683681738161038
