,Date,MoM % change 
0,2014-04-01,
1,2014-05-01,0.0028236139788355707
2,2014-07-01,0.0024847130378324866
3,2014-08-01,0.006089501983687073
4,2014-10-01,0.008224540829109062
5,2014-12-01,-0.0025975327825024097
6,2015-04-01,-0.04295464112070979
7,2015-05-01,-0.018085970694100895
8,2015-06-01,-0.06518121878812588
9,2015-07-01,0.0
10,2015-09-01,-0.08700603571987031
11,2015-10-01,0.0
12,2015-12-01,-0.1023676320571637
13,2016-02-01,-0.0037912325300795136
14,2016-03-01,-0.09038591442355015
15,2016-04-01,-2.1596278515612077e-05
16,2016-06-01,-0.062179627993952824
17,2016-07-01,0.0
18,2016-08-01,-0.013960482796248841
19,2016-09-01,-0.04400031463276188
20,2016-11-01,-0.013318819598113874
21,2016-12-01,-0.015794165214562672
22,2017-02-01,-0.0005568556073630715
23,2017-03-01,0.01362690099696584
24,2017-05-01,0.01035400498045802
25,2017-06-01,0.057105808191763474
26,2017-08-01,0.011221615181930211
27,2017-09-01,0.022841999333843788
28,2017-11-01,0.01990918745982828
29,2017-12-01,0.014614094854250803
30,2018-02-01,0.0012558416655010785
31,2018-03-01,0.03583123768238505
32,2018-05-01,0.009181320973823182
33,2018-06-01,0.025282009991253407
34,2018-08-01,0.011933275187920644
35,2018-10-01,0.0439600514179761
36,2018-11-01,0.018338045363894162
37,2019-02-01,0.03628258481309632
38,2019-03-01,0.022904625038505433
39,2019-04-01,0.00019678042681592345
40,2019-05-01,-0.0017623269789519558
41,2019-07-01,3.569121492841276e-05
42,2019-08-01,-0.0035448878410911933
43,2019-10-01,0.00016960154396850058
44,2019-11-01,-0.009055013128020484
45,2020-04-01,-0.028625788757527415
46,2020-05-01,-0.0066198124546495984
47,2020-06-01,-0.013913395629525649
48,2020-07-01,0.0
49,2020-09-01,-0.12642136131430337
50,2020-10-01,0.0
51,2020-12-01,-0.07874355010619882
