,Date,MoM % change 
0,2014-04-01,
1,2014-05-01,-0.0015159245880916883
2,2014-07-01,0.011507214017361767
3,2014-08-01,-0.00046771796692501866
4,2014-10-01,0.02182607830540184
5,2014-12-01,0.01755223510687265
6,2015-04-01,0.0006563719702958881
7,2015-05-01,-0.011060330851027755
8,2015-06-01,-0.012676615466217789
9,2015-07-01,-0.0022110250079265814
10,2015-09-01,-0.04297202982582071
11,2015-10-01,0.0
12,2015-12-01,-0.07865768048722999
13,2016-02-01,-0.0018497371140163699
14,2016-03-01,-0.09246958340722167
15,2016-04-01,-0.010693854763623056
16,2016-06-01,-0.04649309563237236
17,2016-07-01,-0.003522934358054286
18,2016-08-01,-0.009277801958635479
19,2016-09-01,-0.011682828064572659
20,2016-11-01,-0.0062738890272751036
21,2016-12-01,0.01005499679971833
22,2017-02-01,-0.0006692300515487304
23,2017-03-01,0.014739006247237896
24,2017-05-01,0.009468909266527437
25,2017-06-01,0.032433482658241974
26,2017-08-01,0.011227249941203388
27,2017-09-01,0.027994736994519043
28,2017-11-01,0.013362051479054227
29,2017-12-01,0.022390240414782214
30,2018-02-01,0.005085341687537603
31,2018-03-01,0.03909619307191825
32,2018-05-01,0.00784689353791923
33,2018-06-01,0.03406504300112245
34,2018-08-01,0.010439247572290977
35,2018-10-01,0.048267492803158785
36,2018-11-01,0.006207198781056356
37,2019-02-01,0.03703873956191983
38,2019-03-01,0.010530169230117847
39,2019-04-01,0.0032519524871466032
40,2019-05-01,-0.0004527178159239309
41,2019-07-01,0.005737863458942671
42,2019-08-01,-0.0016414295189678407
43,2019-10-01,-0.022963546480377683
44,2019-11-01,-0.015002863075559647
45,2020-04-01,-0.05598613958652965
46,2020-05-01,-0.012950176443138561
47,2020-06-01,-0.016320952954281265
48,2020-07-01,-0.0027754674475223284
49,2020-09-01,-0.05651532157320738
50,2020-10-01,-0.0022789594925278767
