,Date,Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,100.0
22,2014-04-01,100.0
23,2014-04-02,100.0
24,2014-04-03,100.0
25,2014-04-04,100.0
26,2014-04-07,100.0
27,2014-04-08,100.0
28,2014-04-09,100.0
29,2014-04-10,100.0
30,2014-04-11,100.0
31,2014-04-14,100.0
32,2014-04-15,100.0
33,2014-04-16,100.0
34,2014-04-17,100.0
35,2014-04-18,100.0
36,2014-04-21,100.0
37,2014-04-22,100.0
38,2014-04-23,105.62634613476732
39,2014-04-24,105.62634613476732
40,2014-04-25,105.62634613476732
41,2014-04-28,105.62634613476732
42,2014-04-29,105.62634613476732
43,2014-04-30,105.62634613476732
44,2014-05-01,105.62634613476732
45,2014-05-02,105.62634613476732
46,2014-05-05,105.62634613476732
47,2014-05-06,105.62634613476732
48,2014-05-07,105.62634613476732
49,2014-05-08,105.62634613476732
50,2014-05-09,105.62634613476732
51,2014-05-12,105.62634613476732
52,2014-05-13,105.62634613476732
53,2014-05-14,105.62634613476732
54,2014-05-15,105.62634613476732
55,2014-05-16,105.62634613476732
56,2014-05-19,105.62634613476732
57,2014-05-20,105.62634613476732
58,2014-05-21,105.62634613476732
59,2014-05-22,105.62634613476732
60,2014-05-23,105.62634613476732
61,2014-05-27,105.62634613476732
62,2014-05-28,105.62634613476732
63,2014-05-29,105.62634613476732
64,2014-05-30,105.62634613476732
65,2014-06-02,105.62634613476732
66,2014-06-03,105.62634613476732
67,2014-06-04,105.62634613476732
68,2014-06-05,105.62634613476732
69,2014-06-06,105.62634613476732
70,2014-06-09,105.62634613476732
71,2014-06-10,105.62634613476732
72,2014-06-11,105.62634613476732
73,2014-06-12,105.62634613476732
74,2014-06-13,105.62634613476732
75,2014-06-16,105.62634613476732
76,2014-06-17,105.62634613476732
77,2014-06-18,105.62634613476732
78,2014-06-19,105.62634613476732
79,2014-06-20,105.62634613476732
80,2014-06-23,105.62634613476732
81,2014-06-24,105.62634613476732
82,2014-06-25,105.62634613476732
83,2014-06-26,105.62634613476732
84,2014-06-27,105.62634613476732
85,2014-06-30,105.62634613476732
86,2014-07-01,105.62634613476732
87,2014-07-02,105.62634613476732
88,2014-07-03,105.62634613476732
89,2014-07-07,105.62634613476732
90,2014-07-08,105.62634613476732
91,2014-07-09,105.62634613476732
92,2014-07-10,105.62634613476732
93,2014-07-11,105.62634613476732
94,2014-07-14,105.62634613476732
95,2014-07-15,105.62634613476732
96,2014-07-16,105.62634613476732
97,2014-07-17,105.62634613476732
98,2014-07-18,105.62634613476732
99,2014-07-21,105.62634613476732
100,2014-07-22,111.82205212773302
101,2014-07-23,111.82205212773302
102,2014-07-24,111.82205212773302
103,2014-07-25,111.82205212773302
104,2014-07-28,111.82205212773302
105,2014-07-29,111.82205212773302
106,2014-07-30,111.82205212773302
107,2014-07-31,111.82205212773302
108,2014-08-01,111.82205212773302
109,2014-08-04,111.82205212773302
110,2014-08-05,111.82205212773302
111,2014-08-06,111.82205212773302
112,2014-08-07,111.82205212773302
113,2014-08-08,111.82205212773302
114,2014-08-11,111.82205212773302
115,2014-08-12,111.82205212773302
116,2014-08-13,111.82205212773302
117,2014-08-14,111.82205212773302
118,2014-08-15,111.82205212773302
119,2014-08-18,111.82205212773302
120,2014-08-19,111.82205212773302
121,2014-08-20,111.82205212773302
122,2014-08-21,111.82205212773302
123,2014-08-22,111.82205212773302
124,2014-08-25,111.82205212773302
125,2014-08-26,111.82205212773302
126,2014-08-27,111.82205212773302
127,2014-08-28,111.82205212773302
128,2014-08-29,111.82205212773302
129,2014-09-02,111.82205212773302
130,2014-09-03,111.82205212773302
131,2014-09-04,111.82205212773302
132,2014-09-05,111.82205212773302
133,2014-09-08,111.82205212773302
134,2014-09-09,111.82205212773302
135,2014-09-10,111.82205212773302
136,2014-09-11,111.82205212773302
137,2014-09-12,111.82205212773302
138,2014-09-15,111.82205212773302
139,2014-09-16,111.82205212773302
140,2014-09-17,111.82205212773302
141,2014-09-18,111.82205212773302
142,2014-09-19,111.82205212773302
143,2014-09-22,111.82205212773302
144,2014-09-23,111.82205212773302
145,2014-09-24,111.82205212773302
146,2014-09-25,111.82205212773302
147,2014-09-26,111.82205212773302
148,2014-09-29,111.82205212773302
149,2014-09-30,111.82205212773302
150,2014-10-01,111.82205212773302
151,2014-10-02,111.82205212773302
152,2014-10-03,111.82205212773302
153,2014-10-06,111.82205212773302
154,2014-10-07,111.82205212773302
155,2014-10-08,111.82205212773302
156,2014-10-09,111.82205212773302
157,2014-10-10,111.82205212773302
158,2014-10-14,111.82205212773302
159,2014-10-15,111.82205212773302
160,2014-10-16,111.82205212773302
161,2014-10-17,111.82205212773302
162,2014-10-20,118.7583579796103
163,2014-10-21,118.7583579796103
164,2014-10-22,118.7583579796103
165,2014-10-23,118.7583579796103
166,2014-10-24,118.7583579796103
167,2014-10-27,118.7583579796103
168,2014-10-28,118.7583579796103
169,2014-10-29,118.7583579796103
170,2014-10-30,118.7583579796103
171,2014-10-31,118.7583579796103
172,2014-11-03,118.7583579796103
