,Date,Level
0,2014-03-01,100.0
1,2014-03-03,100.0
2,2014-03-04,100.0
3,2014-03-05,100.0
4,2014-03-06,100.0
5,2014-03-07,100.0
6,2014-03-10,100.0
7,2014-03-11,100.0
8,2014-03-12,100.0
9,2014-03-13,100.0
10,2014-03-14,100.0
11,2014-03-17,100.0
12,2014-03-18,100.0
13,2014-03-19,100.0
14,2014-03-20,100.0
15,2014-03-21,100.0
16,2014-03-24,100.0
17,2014-03-25,100.0
18,2014-03-26,100.0
19,2014-03-27,100.0
20,2014-03-28,100.0
21,2014-03-31,100.0
22,2014-04-01,100.0
23,2014-04-02,100.0
24,2014-04-03,100.0
25,2014-04-04,100.0
26,2014-04-07,100.0
27,2014-04-08,100.0
28,2014-04-09,100.0
29,2014-04-10,100.0
30,2014-04-11,100.0
31,2014-04-14,100.0
32,2014-04-15,100.0
33,2014-04-16,100.0
34,2014-04-17,100.0
35,2014-04-18,100.0
36,2014-04-21,100.0
37,2014-04-22,100.0
38,2014-04-23,100.0
39,2014-04-24,101.14942528735632
40,2014-04-25,101.14942528735632
41,2014-04-28,101.14942528735632
42,2014-04-29,101.14942528735632
43,2014-04-30,101.14942528735632
44,2014-05-01,101.14942528735632
45,2014-05-02,101.14942528735632
46,2014-05-05,101.14942528735632
47,2014-05-06,101.14942528735632
48,2014-05-07,101.14942528735632
49,2014-05-08,101.14942528735632
50,2014-05-09,101.14942528735632
51,2014-05-12,101.14942528735632
52,2014-05-13,101.14942528735632
53,2014-05-14,101.14942528735632
54,2014-05-15,101.14942528735632
55,2014-05-16,101.14942528735632
56,2014-05-19,101.14942528735632
57,2014-05-20,101.14942528735632
58,2014-05-21,101.14942528735632
59,2014-05-22,101.14942528735632
60,2014-05-23,101.14942528735632
61,2014-05-27,101.14942528735632
62,2014-05-28,101.14942528735632
63,2014-05-29,101.14942528735632
64,2014-05-30,101.14942528735632
65,2014-06-02,101.14942528735632
66,2014-06-03,101.14942528735632
67,2014-06-04,101.14942528735632
68,2014-06-05,101.14942528735632
69,2014-06-06,101.14942528735632
70,2014-06-09,101.14942528735632
71,2014-06-10,101.14942528735632
72,2014-06-11,101.14942528735632
73,2014-06-12,101.14942528735632
74,2014-06-13,101.14942528735632
75,2014-06-16,101.14942528735632
76,2014-06-17,101.14942528735632
77,2014-06-18,101.14942528735632
78,2014-06-19,101.14942528735632
79,2014-06-20,101.14942528735632
80,2014-06-23,101.14942528735632
81,2014-06-24,101.14942528735632
82,2014-06-25,101.14942528735632
83,2014-06-26,101.14942528735632
84,2014-06-27,101.14942528735632
85,2014-06-30,101.14942528735632
86,2014-07-01,101.14942528735632
87,2014-07-02,101.14942528735632
88,2014-07-03,101.14942528735632
89,2014-07-07,101.14942528735632
90,2014-07-08,101.14942528735632
91,2014-07-09,101.14942528735632
92,2014-07-10,101.14942528735632
93,2014-07-11,101.14942528735632
94,2014-07-14,101.14942528735632
95,2014-07-15,101.14942528735632
96,2014-07-16,101.14942528735632
97,2014-07-17,101.14942528735632
98,2014-07-18,101.14942528735632
99,2014-07-21,101.14942528735632
100,2014-07-22,101.14942528735632
101,2014-07-23,102.29885057471265
102,2014-07-24,102.29885057471265
103,2014-07-25,102.29885057471265
104,2014-07-28,102.29885057471265
105,2014-07-29,102.29885057471265
106,2014-07-30,102.29885057471265
107,2014-07-31,102.29885057471265
108,2014-08-01,102.29885057471265
109,2014-08-04,102.29885057471265
110,2014-08-05,102.29885057471265
111,2014-08-06,102.29885057471265
112,2014-08-07,102.29885057471265
113,2014-08-08,102.29885057471265
114,2014-08-11,102.29885057471265
115,2014-08-12,102.29885057471265
116,2014-08-13,102.29885057471265
117,2014-08-14,102.29885057471265
118,2014-08-15,102.29885057471265
119,2014-08-18,102.29885057471265
120,2014-08-19,102.29885057471265
121,2014-08-20,102.29885057471265
122,2014-08-21,102.29885057471265
123,2014-08-22,102.29885057471265
124,2014-08-25,102.29885057471265
125,2014-08-26,102.29885057471265
126,2014-08-27,102.29885057471265
127,2014-08-28,102.29885057471265
128,2014-08-29,102.29885057471265
129,2014-09-02,102.29885057471265
130,2014-09-03,102.29885057471265
131,2014-09-04,102.29885057471265
132,2014-09-05,102.29885057471265
133,2014-09-08,102.29885057471265
134,2014-09-09,102.29885057471265
135,2014-09-10,102.29885057471265
136,2014-09-11,102.29885057471265
137,2014-09-12,102.29885057471265
138,2014-09-15,102.29885057471265
139,2014-09-16,102.29885057471265
140,2014-09-17,102.29885057471265
141,2014-09-18,102.29885057471265
142,2014-09-19,102.29885057471265
143,2014-09-22,102.29885057471265
144,2014-09-23,102.29885057471265
145,2014-09-24,102.29885057471265
146,2014-09-25,102.29885057471265
147,2014-09-26,102.29885057471265
148,2014-09-29,102.29885057471265
149,2014-09-30,102.29885057471265
150,2014-10-01,102.29885057471265
151,2014-10-02,102.29885057471265
152,2014-10-03,102.29885057471265
153,2014-10-06,102.29885057471265
154,2014-10-07,102.29885057471265
155,2014-10-08,102.29885057471265
156,2014-10-09,102.29885057471265
157,2014-10-10,102.29885057471265
158,2014-10-14,102.29885057471265
159,2014-10-15,102.29885057471265
160,2014-10-16,102.29885057471265
161,2014-10-17,102.29885057471265
162,2014-10-20,102.29885057471265
163,2014-10-21,102.29885057471265
164,2014-10-22,102.29885057471265
165,2014-10-23,102.29885057471265
166,2014-10-24,102.29885057471265
167,2014-10-27,105.17241379310344
168,2014-10-28,105.17241379310344
169,2014-10-29,105.17241379310344
170,2014-10-30,105.17241379310344
171,2014-10-31,105.17241379310344
172,2014-11-03,105.17241379310344
173,2014-11-04,105.17241379310344
174,2014-11-05,105.17241379310344
175,2014-11-06,105.17241379310344
176,2014-11-07,105.17241379310344
177,2014-11-10,105.17241379310344
178,2014-11-12,105.17241379310344
179,2014-11-13,105.17241379310344
180,2014-11-14,105.17241379310344
181,2014-11-17,105.17241379310344
182,2014-11-18,105.17241379310344
183,2014-11-19,105.17241379310344
184,2014-11-20,105.17241379310344
185,2014-11-21,105.17241379310344
186,2014-11-24,105.17241379310344
187,2014-11-25,105.17241379310344
188,2014-11-26,105.17241379310344
189,2014-11-28,105.17241379310344
190,2014-12-01,105.17241379310344
191,2014-12-02,105.17241379310344
192,2014-12-03,105.17241379310344
193,2014-12-04,105.17241379310344
194,2014-12-05,105.17241379310344
195,2014-12-08,105.17241379310344
196,2014-12-09,105.17241379310344
197,2014-12-10,105.17241379310344
198,2014-12-11,105.17241379310344
199,2014-12-12,105.17241379310344
200,2014-12-15,105.17241379310344
201,2014-12-16,105.17241379310344
202,2014-12-17,105.17241379310344
203,2014-12-18,105.17241379310344
204,2014-12-19,105.17241379310344
205,2014-12-22,105.17241379310344
206,2014-12-23,105.17241379310344
207,2014-12-24,105.17241379310344
208,2014-12-26,105.17241379310344
209,2014-12-29,105.17241379310344
210,2014-12-30,105.17241379310344
211,2014-12-31,105.17241379310344
212,2015-01-02,105.17241379310344
213,2015-01-05,105.17241379310344
214,2015-01-06,105.17241379310344
215,2015-01-07,105.17241379310344
216,2015-01-08,105.17241379310344
217,2015-01-09,105.17241379310344
218,2015-01-12,105.17241379310344
219,2015-01-13,105.17241379310344
220,2015-01-14,105.17241379310344
221,2015-01-15,105.17241379310344
222,2015-01-16,105.17241379310344
223,2015-01-20,105.17241379310344
224,2015-01-21,105.17241379310344
225,2015-01-22,105.17241379310344
226,2015-01-23,105.17241379310344
227,2015-01-26,105.17241379310344
228,2015-01-27,105.17241379310344
229,2015-01-28,114.94252873563218
230,2015-01-29,114.94252873563218
231,2015-01-30,114.94252873563218
232,2015-02-02,114.94252873563218
233,2015-02-03,114.94252873563218
234,2015-02-04,114.94252873563218
235,2015-02-05,114.94252873563218
236,2015-02-06,114.94252873563218
