,ticker,company name
0,ATI,ALLEGHENY TECHNOLOGIES 
1,CDE,COEUR MINING 
2,CLF,CLEVELAND-CLIFFS 
3,CMC,MERCIAL METALS CO
4,CMP,PASS MINERALS INTERNATIONAL 
5,CRS,CARPENTER TECHNOLOGY CORP
6,FCX,FREEPORT-MCMORAN 
7,HL,HECLA MINING CODE
8,NEM,NEWMONT CORP DE
9,NUE,NUCOR CORP
10,RGLD,ROYAL GOLD 
11,RS,RELIANCE STEEL & ALUMINUM CO
12,SCCO,SOUTHERN COPPER CORP
13,STLD,STEEL DYNAMICS 
14,WOR,WORTHINGTON INDUSTRIES 
15,X,UNITED STATES STEEL CORP
