,Date,MoM % change 
0,2014-04-01,
1,2014-05-01,-0.0053080142941343
2,2014-07-01,0.010886826015841233
3,2014-08-01,-0.0023854237985309057
4,2014-10-01,0.019827722095527855
5,2014-12-01,0.013885343459375976
6,2015-04-01,-0.00017384991996027832
7,2015-05-01,-0.008308007949597074
8,2015-06-01,-0.011814043405882435
9,2015-07-01,-0.002038595667713139
10,2015-09-01,-0.0384297639299207
11,2015-10-01,0.0
12,2015-12-01,-0.06985690067240868
13,2016-02-01,-0.0016810757305684154
14,2016-03-01,-0.08547106176926822
15,2016-04-01,-0.009642772228907193
16,2016-06-01,-0.04093692428752682
17,2016-07-01,-0.003154915129077951
18,2016-08-01,-0.006649957107567661
19,2016-09-01,-0.009428480094294978
20,2016-11-01,-0.004287804600475953
21,2016-12-01,0.010311263815610205
22,2017-02-01,-0.0005948137296715172
23,2017-03-01,-0.0013050240082873588
24,2017-05-01,0.011479596163013639
25,2017-06-01,0.02951398677264372
26,2017-08-01,0.012325870694694041
27,2017-09-01,0.025031148291695837
28,2017-11-01,0.013031401948244703
29,2017-12-01,0.01981641757531971
30,2018-02-01,0.0046174177876310285
31,2018-03-01,0.03699431013310073
32,2018-05-01,0.008177872657691765
33,2018-06-01,0.03105809612310395
34,2018-08-01,0.007695564501210894
35,2018-10-01,0.0443604981791359
36,2018-11-01,0.004105320578178917
37,2019-02-01,0.034117069796163024
38,2019-03-01,0.010006270651512716
39,2019-04-01,0.003003226869314979
40,2019-05-01,-0.0006106171295026108
41,2019-07-01,0.005358769191155854
42,2019-08-01,0.0035706748458483872
43,2019-10-01,-0.0212966834306616
44,2019-11-01,-0.013770712628456416
45,2020-04-01,-0.03226562986195314
46,2020-05-01,-0.011413864966032805
47,2020-06-01,-0.0072926125504075845
48,2020-07-01,-0.00245558183823269
